hash,id,material
a2802d58318c3ea6997dccd91ac41302,liminal-6,"oil, charcoal and ink on paper"
d9fa0988c0493028976a7580f400abc1,untitled-118,Type-written letter with collage
e3361743613fa1760c578ed4665d5173,untitled-large-watercolour,Watercolour
6abf6abb2915da9b07bb34a9ae659094,can-this-boy-save-the-monarchy-time,Oil on board
95cc38cea1829b1bced2a96772754efe,shelter-no-30,"Linocut printed, softoleum printed, and embroidered silk"
b3c823bc4e4787511b907dce626c3c3d,prayer-flags-and-snow-mountain-tibet,Gelatin silver print
a89073214e1a6e3516012b63024c8531,vegetation-and-dwelling-place,"Crushed clay, fresco pigment, plaster on board"
91211cd9a42f58e7428ca3baee26269d,liminal-9,"oil, charcoal and ink on paper"
3108553c1f0e73cd876ce9a57626ca93,stamps-to-celebrate-50th-anniversary-of-the-founding-of-the-esb,"Printed paper, sheet of 10 x 10p stamps"
b79497e269e65f5cff8e9d135f990a9f,portrait-of-alice-liddell-after-lewis-carroll,"Chromogenic print from a digital file, mounted on aluminium, wooden frame"
07cabbf9621d5a0b0bdbe3ffb4a6bf76,loss-memory-tea-cups,Photograph
932c8c9a80221cd795d06bb3efb0acdd,transverberacion-ascendente,Etching
1d18810666abd01dc5c2daa5f1e17163,cardinal-6,Oil &amp; acrylic on board
4e0fe2ce85a7b3c688e40833d7520dff,between-the-eyes-t45,Pencil and ink on tracing paper
600b4082f2c43932893871f5fddee706,drawing-3,Ink on paper
48fcadfce8bc42badb1c561f57c5ce3e,untitled-christmas-card-2,Colour etching
615f1c23fba5f5666e06eb6e6ce3c551,espacio-a-relieves-multiples,Etching
2cb603f258140cc92fe6e7b35558fef2,yagul-light-of-the-leaves-3,Screenprint
8f5af119099659455a21f86cf8cbcc6a,contrastes,Screenprint
4dc58e2f0a5ef83fe73770fd10f026e0,bird-2,Oil on canvas
7ac46d4f8e55f7c6d4364f03a4badaaf,untitled-43,Screen printed in luminous ink on cream paper
b7c2a28cc58cb4f6db25ac27d142fd1a,meditation-painting-11,Gold leaf and palladium on linen
a8ab4d8d704c4381105d8c1f84c42738,rossbeg-clouds,Oil on canvas
4d793a3f50528a132f3180e8e78b6b76,little-orphan-annie-is-forty,Pastel on paper
d34f73a5c95924029038183d3b07d6c8,i-heart-lesbians,cyanotype print
bf231ead4d767680d780e079481217d2,untitled-134,Oil on newspaper with Italian text
30de6226ecf533773f8d55be4d7f12f5,la-imagen-vertical,Screenprint
ee48d82ac5dda2d48bf10f8690169d7d,yagul-light-of-the-leaves-6,Screenprint
3c909ae1842db3fa4a831273b592db54,habitation-extended-enclosure,Plaster on board
97276f00824df545277bbb7a6bddf47b,slat-greaser-trough-iii,"Wood, grease, metal"
2fcc5e82fa2c598f7223e099306143d7,goat-woman,cyanotype print
505e635194571fef967ca114ab4ec7c8,crossing-the-rapido-vi-painting-caserta-red,Oil on canvas in 3 panels
7c14d89df611c3710f2b6581a182f93a,self-portrait-with-blue-black-and-red,Mixed media on paper
cdb1c468e81b3b7cd5236d710e204e8b,unveiling,"Bronze bell, lead clapper, fabric tassle"
753212ca7ceb1900919951ee8dfd1a39,the-troubles-an-artists-document-of-ulster-78,Archival cibachrome
5cbb755b51da254b324e0e6c45f453ab,stephens-green,Oil on canvas
27dbf2d04e3316aea9b551f76ae1de5d,bahnhofstrasse-pomes-penyeach,Etching
3a121f637199421af3922ee4e553c33b,aurora-borealis-arcs,Oil on linen
85307b9d3a3a208603cbb0a20a5892c4,salt-marsh-suite,Lithograph with hand painting
47eaf753547c12b25415afa41df7058f,bone-box-41,"Mixed media, including plaster, paint, perspex"
4cb744e9878d64112d20b771383b9075,the-problem-with-adjectives,"Egg tempera, bole clay and silver leaf on constructed wood"
26b5eb3f8c36cc12e0050d572bf3f469,no-title,"Six single channel videos (exercises 1 – 6), drawings on paper (exercise 7), objects and materials"
ede2b0e5257e5efa71c1717d07d34823,study-for-arcadia,Charcoal on paper
75da53c72523c87688798040883ab024,attempt-to-raise-hell,"Cast iron bell suspended from the ceiling, seated figure with coloured cast aluminium head and hands, cloth and felt suit, wooden base with timing mechanism"
7927cb153348761f20bd081d8bc8bccb,between-the-eyes-t29,Pencil and ink on tracing paper
c3dd3a73d57626456bf499385d088af9,mine-tailings-clutha-valley-ii,Oil on canvas
e8faf4c70144a8eba2b813be5b72e5ea,dinner-for-one-in-babylon,Oil on canvas
39c4ace2851937cc9447ff8a0dbfc120,present-time,Oil and pigment on paper
5911a362b12972d0ef4ff835e016d3bd,sleeper-viii,"Oil on linen canvas, diptych"
da57ab76073008dcd5ffe7e217d2742d,untitled-zalla-2,Pencil and coloured pencil on paper
91a32fced42901730ca3dfd8460abec8,untitled-black-and-white,oil on steel
ce1d8b8e49c5fa18b495b3278662a6e6,crows-new-mown-field-slieveardagh-ballykeefe-hill-physicianstown-callan,"Gouache, pen and pigment on paper"
5668188873ae158180da8f31fcf73b34,the-sky-looks-down-on-almost-as-many-things-as-the-ceiling,"Card, tape, filler, varnish, steel"
4550b7c17abf71dce358e1e2dca8b706,portrait-head-2,Etching
70dc41419162fbcd17b701c3e543377d,drawing-with-vanishing-point,Pencil on paper
560734228b874cc4f99bdfb6716c9583,conflicting-view,Metal rod / Acrylic on canvas
6f8bf9d3ce19ef7759725dd92814689c,volume-iii-buschbuch,"Etchings, copperplate and nylo prints"
fb424bd6bf938c011c074e0b02d85cda,still-in-the-darkness,"Hand tufted rug, 100% Wool on hessian backing"
18fe9240c56aceeb8391f7331828467c,loss-memory-stationery-box,Photograph
630c15b3324568f33e2d4622401d9d6e,sculptor-model-wearing-mask-and-a-statue-of-a-standing-nude,Etching
3aaf263e8eaa502fd9522eb006f4290e,the-troubles-an-artists-document-of-ulster-2,Archival cibachrome
83c79fd48198e966e4902ca59f796388,parodos,"Video (colour, sound)"
833251ccc875377941822119fd43de78,openings,Gouache on paper
e88cad4a34bd4b240e675dbc286bcda3,en-el-ser-no-11,Etching
67d301bfe53a5de0dc25af39433a02ad,study-for-the-back-of-my-hand-no-4-no-1,Pencil on paper
e1d055cc6353708f67b19e78eb7313e4,the-tain-cuchulainn-in-warp-spasm,"Aubusson Tapestry, Atelier René Duché, 1998"
c275a35f512217b1d173729b4c99ab36,using-the-camera-as-a-club-5,Etched on zinc; printed in sepia ink on buff German etching paper
dd0d8a616b5807df97b021517bec9091,lake-and-blue-mountains-of-connemara,Oil on canvas
58e18b7c122020feaf36d9f682217c47,figure-with-iron-ruler,"Painted aluminium, iron and various materials"
becd256f049952fd0d8bd25f6b2a9d94,t-v-and-child,Lithograph
ac67beace4ad0eecfa8adde22be58b83,para-una-reina,Screenprint
de0e4233546516b8ea39b3227eff044c,selinunte-temple-e,Oil on canvas
6ce4f04aa30db0717a121ce8471c1305,untitled-8,"Etching, aquatint"
c4dd2f37f0a762a4a9a494aef65cfe05,untitled-ref-8903,Mixed media on paper
c679022cf437e6ad35c9178b96156445,sr-john-rogersons-quay-1993-f47-p16-2-15,Black and white photograph on Agfa Brovira III paper and selenium toned (1:2)
5f7bd5b274c0c57394b6ec50a8d57c8f,texturas-en-el-area,Etching
bbfdaf5e53ae69006ad5d3393300c252,untitled-from-london-portfolio-2,Six-colour screenprint with varnish
1601ba2d4d867201fb96038d5fb66471,yagul-light-of-the-leaves-9,Screenprint
da8272c097921fb85721157ad47c7e70,the-painters-mother-resting-i,Oil on canvas
25e263d9f0a3ab4b600a6da4ba2b443a,six-pieces-for-veronica,Varies
07ad2a2fdfc65fdfd24c8dec1f200e8d,the-troubles-an-artists-document-of-ulster-44,Archival cibachrome
4272837575f00a2274217850583893b9,sprinkle-ochre-into-my-eyes,"Ink, watercolour and pastel on paper"
2c0f4b67d6af4e500657cb6bae190b46,study-for-tranquil-night-ii,"Polished aluminium, bronze and pencil"
d6a803b20711fc655a215a1d4a36a8c8,aleatoric-composition,"Wood, paint"
60ffb358e91c83a69250a13b137a87c9,a-toucheen-of-snow,Oil on paper
5ac65f5484907497bd38dac30d1f8f21,pig,Monochrome etching
aac84eaa58f74cdc064456af928f6800,untitled-140,Oil on canvas
3eca0dbb88611652764ace3ca1014fc1,elegy-ii,Mixed media on canvas
473abff9bde25ce3e4276ae4eb9bc341,fourteen-points-of-entry-xiv,Acrylic and oil on paper
7fc2a543d3f7dbbd8b55fe74287c2443,michael,Black and white photographs
d361d38a813d924ed7387e495c670737,a-pyramid-lake-paviotso,Photogravure
88f646aed1a7ecc6a8eb9a1a1b759654,permutation-series-6-8,Serigraph
d2cf64c02b92a469b3c4b4696633d710,the-troubles-an-artists-document-of-ulster-56,Archival cibachrome
c599bacbfadba7d68defafb4fec5a898,man-praying,Etching
c228ea8b22002a556da182890593e560,ducks-going-to-sea,Oil on canvas
e5f6932b1cc91a2b67a386c455f487d4,folded-unfolded,Acrylic paint on Linen
bd6195f0d5031918408656b81ddcf963,head-of-a-young-irishman,Oil on canvas
694930363320998b38d1ea37b293ffdb,liffey-suicides,Acrylic on canvas
7c0eef800e2bcfe66d44a2faa2a0b3f7,seance,cyanotype print
256f1cd43b1ba76c4e41b1f08d20cd70,there,Laser print on uncoated 100gsm white paper (typeface Calvert Bold) and aluminium metal tape
0b4eeb04aa82c182b2486182543d9907,casual-passer-by-i-met-at-528-pm-dublin-2011,Inkjet print on PVC and black and white photograph and certificate mounted on board
e5ba6261ff695c86670f804c670b7f7c,forest-edge-2,Mixed media on canvas
4a7e20410d0fe5062ad54d0bebcebcb4,margaret-again,Video
e1029d364b1ef87f0cd76564e1aec94b,lover-snakes,Stuffed snakes and cast silver reliquaries containing snake hearts
6acc442db2ddc5f514d9be0ab9fab148,god-only-knows-18,Black marker on paper
5bc00ad66a19b3866056b3ef9710f47d,untitled-virgin-mary-statue,Oil on canvas
5ed2c0f640334ddbcbab2e9e50c196d3,demeter-sketch,Oil on canvas
6e9c7da03783790545872ece9b4a0ff7,sadie-and-may-landgirls,Ink on paper
2375ee790e189b52633f5f3d230a8bab,witch-protest,cyanotype print
5450af37a6941ffa5ce57659923de1e9,pan-and-bowl-blues-on-green,Silkscreen print
190e33fce2a0d6f3fc36a17ad741f052,les-maisons-des-humbles,Oil on board
5d9ca56ad3b26bfbb072b861a8f93303,general-fevrier,Digital c-print
187b6675d668e1cf5bfd0461a9d8719e,female-nude,Oil on Canvas
661c19868ecdc881572cb4216e740133,queer-liberation-not-rainbow-captialism,cyanotype print
5f5d7316cc228f72fe0734dc3e48486a,after-piranesi-ii,Sepia ink on used ledger paper
79da35f235518d7ee0d987fb9920387b,skull-drawing-self-portrait,Pencil on paper
7194e8b82e26846440be5daa22aaac5d,hyde-park-waiting-for-the-demo-and-convent-carysfort-avenue-blackrock-co-dublin,Wool
5ef618658ba6f6c3601fd30094ba208c,landlines,Oil on paper
57d57c0caf43e643b0a55ddb8c53499f,physichromie-no-226,Painted wood and perspex
d1ea940cb1ba1b9b48de77bcc3ea1627,goal,Acrylic on cardboard
8022a07cd39ebbcaff45caa78335a434,fourteen-points-of-entry-viii,Acrylic and oil on paper
eab50df11952c3465e4a591cc27d0778,three-studies-for-a-crucifixion-ii,Three carborundum etchings
a735efb31f3117f1564c56a8f729e624,brush-as-torch,Painted relief
5931a69377c5882a6ea4a539a7ce4c91,paessaggio,Gelatin silver print
bc2e53a114234336124c14a5e064c0cd,red-yellow-and-blue,Watercolour on paper
40ce462556d9a1ae6ea48b221ae36173,red-sculpture,Cibachrome
bc434c842aaf7250e5c60dc31ebbfc10,patrick,Black and white photographs
fea1a76629c2c4d0093a9de6ea0dcd32,smiling-girl-and-sombre-boy,watercolour on paper
7db5fa1fd4c79d7e00a37977119a4ca8,the-opera-singer,Oil on canvas
41e0ad99097f09b9c24b1ca27ba1a418,the-troubles-an-artists-document-of-ulster-8,Archival cibachrome
315b357b3430800b73d7ac6c2ec20fce,land-score-1-northern,Oil on canvas
e9543176f9486dec0d08ba8b223c534f,self-soothers-snake,"Re-assembled snake print items sourced from fast fashion cycles SS 2019, AW 2019, SS 2020 (Ireland) Textile, foam, pvc overflow pipe, hemp cord.(approx 3-5 parts per snake)"
38fb945ea6f8404e98c17fc8fba00b37,mutacion,Screenprint
056fc5fd93a201da699d7a13f61ca84f,le-soutien-de-famille,Lithograph
a5e64c8be766249153765b9cc3fa921a,between-the-eyes-t23,Pencil and ink on paper
e1dd5b6043baa2b8c78dabdb3b35221c,yagul-the-golden-bough-2,Screenprint
494484e6faa18e39844429c3ea40f383,cassandras-necklace,"Two-channel high-definition video, colour"
0e04c4d9824018ecc20272f5a131c98e,veracruz-215,Gelatin silver print
1e14a7cd32a19929782c88f05132278e,my-studio,Oil and collage on board
685410a174b7c942125fc097a8701d17,masked-dancers-in-canoes-qagyuhl,Photogravure
aaa87a4101af3fbdd40532c0eee184f6,other-voices,"Cast aluminium, copper, bronze, iron"
5e19aacdd2bd309800b6eec9f1323b30,untitled-birds-2,Watercolour and gouache on paper
51602f3dc8b1bc06fc4ff9a2ffc2dc3a,incognito-amigdala-anual-melancolica,Lithograph and collage
634d38faee16c12b77157e7c452500fe,untitled-tv-static,cyanotype print
9eb87ab95f9c28b315ae748e644e1e6b,cornus-nuttallii,Photogravure
77a76f8edbf9d3ae7327fe55cceae576,zero-hour-mojave-desert-2005-sunday-november-20th-7pm,Colour inkjet print
7df8ef42e243f9c1b05dff33ce22fac8,power-boy-mekong,Giclée print
66cea8131ba613063413151a8d9257ca,untitled-2,Collage with etching on 270grm white BFK Rives paper
4d490ec72566e052667d2b375f61ce07,sears-tower,Plastichrome
3373c6ce934c2ee9ff88495c8263a8f7,untitled-77,Ink and gouache on rice paper
cba5ea7e131466422b743d29b2de81f6,libertys-booty,"Colour, sound"
239bdcff3a8d4881219a94d29fcb452c,atalanta,Oil on board
34c326c52b6b10141f93ef7e63c2f67c,the-yellow-window,Oil on canvas
3298227e41a2f4a8431a1dd32d579dd4,san-jorge-bendito,Screenprint
3d856a5e1dbcb1f279a5c2d4e2a73463,man-in-a-check-cap,Oil on canvas
82f3f9782179c1a36c548af6b7064e00,untitled-96,Pastel
2e9680177b87c38be20fce2a07d5afc8,phase-3-actions-sculpture,"Installation with broadcast radio sculpture, zines, animation, screenprints and sound"
12f84735c0c24c6304387d21b7d6f397,chain,Oil on canvas
44ef8ab750867ae6598bcd5343ff8a66,untitled-65,Lithograph
3657610e26f3b5b082c8a1e06712d8e3,man-with-scythe-aran-islands,Brown crayon
1a8ed2caeb9d7acac6d6c6312e67d23c,brennus,Oil on canvas
08a3cda4355111b487f66e4e6f3db657,take-campaign-city-of-industry-los-angeles-ca,Unique cibachrome
2be7a2ceb4ee0c503fa85be9a362877f,isla-de-graciosa-light-caleta-del-sebo,Oil on board
6477b158e97157e6fcc983de7a5e48ea,grandma-nataly,Carbon Print
ebbc992e860e12b40faa8a5478083071,dolores-del-rio,Screenprint
88ac75b03f4ff86d5b0e58613df8133a,melancholia-2,Watercolour on paper
c28ab9e26eab1807bda3b54e22661034,allegory,"Aubusson Tapestry, Atelier Tabard Frères et Soeurs"
7adc1435262c61de6b2652e3c9ddf480,self-portrait-with-blue-red-and-green-5,Mixed media on paper
768047af2fd9715b18dad42de5564baa,a-funny-thing-happened-on-the-way-to-the-g-p-o,Painted wood
4149f186f08090b1bec7aba896dcaaa6,working-drawing-for-veil,"Matt emulsion, pencil, gauze, photographic prints, B &amp; W illustrations on board"
3ea7390d21e381e8a1927ac698eb1ca7,laboratory-still-life-no-4,Aquatint Etching
aac91b6702c95a23c7a8c9a0ced5c0c8,triple-portrait,Oil on canvas
6c513f603768bbe44a93e939a3f5b312,serial-para-perturbados-del-mar,Oil on canvas
a8c2511c968b93d30898dff7b738b682,untitled-a-series-of-etchings-pub-paragon-press,Spitbite etching on paper
1fe1722014e1635e1a9be3ea1c56e708,two-falling-black-petals-and-vase,Acrylic on canvas
